Composer,Timeline,Nationality,Status,Gender
Frederic Rzewski,born 1938,United States,Living,Male
Camille Saint-Saëns,1835-1921,France,Dead,Male
Arnold Schoenberg,1874-1951,Austria,Dead,Male
Franz Schreker,1878-1934,Austria,Dead,Male
Franz Schubert,1797-1828,Austria,Dead,Male
Erwin Schulhoff,1894-1942,Czech Republic,Dead,Male
Robert Schumann,1810-1856,Germany,Dead,Male
Dmitri Shostakovich,1906-1975,Russia,Dead,Male
Jean Sibelius,1865-1957,Finland,Dead,Male
Bedřich Smetana,1824-1884,Czech Republic,Dead,Male
Giovanni Sollima,born 1962,Italy,Living,Male
Rudi Stephan,1887-1915,Germany,Dead,Male
Nathaniel Stookey,born 1970,United States,Living,Male
Igor Stravinsky,1882-1971,Russia,Dead,Male
Josef Suk,1874-1935,Czech Republic,Dead,Male
Alexandre Tansman,1897-1986,France,Dead,Male
Joseph Tawadros,born 1983,Australia,Living,Male
Pyotr Ilyich Tchaikovsky,1840-1893,Russia,Dead,Male
Georg Philipp Telemann,1681-1767,Germany,Dead,Male
Thomas Newman,born 1955,United States,Living,Male
Unknown,Unknown,Unknown,Unknown,Unknown
Edgard Varèse,1883-1965,France,Dead,Male
Ralph Vaughan Williams,1872-1958,United Kingdom,Dead,Male
Giuseppe Verdi,1813-1901,Italy,Dead,Male
Louis Vierne,1870-1937,France,Dead,Male
Heitor Villa-Lobos,1887-1959,Brazil,Dead,Male
Antonio Vivaldi,1678-1741,Italy,Dead,Male
Richard Wagner,1813-1883,Germany,Dead,Male
Kaoru Watanabe,born 1976,United States,Living,Male
Anton Webern,1883-1945,Austria,Dead,Male
Nigel Westlake,born 1958,Australia,Living,Male
Hugo Wolf,1860-1903,Austria,Dead,Male
Henry Wood,1869-1944,United Kingdom,Dead,Male
Miriama Young,born 1975,New Zealand,Living,Female
Jan Dismas Zelenka,1679-1745,Czech Republic,Dead,Male
Alexander von Zemlinsky,1871-1942,Austria,Dead,Male
